age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
47,management,married,tertiary,no,-315,yes,yes,cellular,27,aug,112,9,-1,0,unknown,no
42,management,married,tertiary,no,0,no,no,cellular,26,aug,179,16,-1,0,unknown,no
25,student,single,secondary,no,154,no,no,cellular,2,sep,382,1,183,3,success,yes
49,housemaid,divorced,secondary,no,267,no,no,telephone,9,feb,23,5,-1,0,unknown,no
25,blue-collar,single,primary,no,-221,yes,no,unknown,23,may,250,1,-1,0,unknown,no
30,blue-collar,single,secondary,no,1224,yes,no,cellular,17,apr,196,2,-1,0,unknown,no
44,management,married,tertiary,no,6203,yes,yes,cellular,17,nov,58,1,188,1,failure,no
33,technician,M,secondary,no,-1040,yes,yes,unknown,27,may,130,1,-1,0,unknown,no
56,admin.,married,,no,1848,yes,no,cellular,4,feb,147,2,260,1,failure,no
34,blue-collar,married,secondary,yes,-745,yes,yes,cellular,11,jul,131,2,-1,0,unknown,no
37,management,married,secondary,no,209,no,no,cellular,14,oct,183,3,528,7,unknown,no
36,unemployed,married,tertiary,no,7222,yes,no,cellular,4,nov,116,4,154,1,failure,no
41,blue-collar,married,primary,no,33,yes,yes,cellular,30,jul,125,5,-1,0,unknown,no
40,entrepreneur,married,tertiary,no,1089,yes,yes,unknown,13,may,195,5,-1,0,unknown,no
59,management,married,secondary,no,1083,no,no,cellular,20,nov,125,2,-1,0,unknown,no
38,technician,married,tertiary,no,3234,no,no,cellular,18,nov,578,2,-1,0,unknown,yes
56,blue-collar,married,primary,no,0,yes,no,cellular,17,jul,82,1,-1,0,unknown,no
52,blue-collar,single,primary,no,0,no,no,cellular,15,jul,131,2,-1,0,unknown,no
36,technician,married,secondary,no,594,no,yes,cellular,4,aug,230,3,-1,0,unknown,no
30,admin,single,secondary,no,28,no,no,unknown,20,aug,107,1,-1,0,unknown,no
42,technician,married,secondary,no,3501,no,no,cellular,28,aug,23,22,-1,0,unknown,no
40,technician,div,secondary,no,0,no,no,cellular,7,aug,674,2,-1,0,unknown,yes
27,blue-collar,married,primary,no,60,yes,no,unknown,3,jun,550,1,-1,0,unknown,no
53,housemaid,married,primary,no,0,no,no,cellular,8,oct,148,1,-1,0,unknown,no
38,services,single,secondary,no,322,yes,no,unknown,26,may,61,1,-1,0,unknown,no
47,technician,divorced,secondary,no,-81,yes,no,cellular,21,nov,262,1,-1,0,unknown,no
43,admin.,married,,no,1998,yes,no,cellular,20,nov,48,4,-1,0,unknown,no
30,management,single,tertiary,no,485,yes,no,cellular,21,nov,89,2,-1,0,unknown,no
47,blue-collar,married,secondary,no,1875,yes,no,cellular,14,jul,157,3,-1,0,unknown,no
30,blue-collar,single,secondary,no,161,no,yes,telephone,8,sep,298,3,-1,0,unknown,yes
27,services,married,secondary,no,221,no,yes,cellular,7,jul,554,1,-1,0,unknown,no
30,technician,married,tertiary,no,91,no,no,cellular,10,jul,363,2,-1,0,unknown,no
53,services,divorced,secondary,no,-905,yes,no,unknown,28,may,213,1,-1,0,unknown,no
39,technician,married,secondary,no,0,yes,no,cellular,16,apr,137,1,300,1,failure,no
28,student,single,secondary,no,949,yes,no,unknown,28,may,1730,1,-1,0,unknown,yes
28,services,divorced,secondary,no,356,no,no,cellular,28,jan,296,1,-1,0,unknown,no
29,blue-collar,single,secondary,no,555,yes,no,cellular,15,may,133,4,-1,0,unknown,no
57,technician,married,secondary,no,1741,no,no,cellular,23,jul,364,2,-1,0,unknown,no
60,management,married,tertiary,no,3029,no,no,cellular,28,aug,26,9,-1,0,unknown,no
51,retired,married,secondary,no,2127,yes,no,unknown,5,may,172,1,-1,0,unknown,no
127,student,single,secondary,no,162,no,no,telephone,,20-Apr,116,1,-1,0,unknown,no
25,management,single,tertiary,no,222,no,no,cellular,27,may,114,1,-1,0,unknown,no
47,technician,married,primary,no,1280,no,no,cellular,8,may,51,1,-1,0,unknown,no
34,blue-collar,married,primary,no,500,yes,no,cellular,18-Nov,,240,2,182,1,failure,no
42,blue-collar,married,primary,no,1520,yes,no,cellular,5,feb,115,1,-1,0,unknown,no
30,services,married,secondary,no,52,yes,yes,cellular,11,may,295,1,-1,0,unknown,no
49,management,married,tertiary,no,3840,yes,no,unknown,15,may,146,4,-1,0,unknown,no
28,management,single,tertiary,no,282,yes,no,unknown,26,jun,301,4,-1,0,unknown,no
57,technician,married,secondary,no,28,yes,no,cellular,8,may,163,1,358,1,failure,no
20,student,single,secondary,no,130,no,no,telephone,4,may,75,3,-1,0,unknown,no
43,blue-collar,married,primary,no,1518,no,no,cellular,17,jun,94,6,-1,0,unknown,no
58,technician,married,secondary,no,99,no,no,telephone,22,sep,396,2,-1,0,unknown,yes
36,services,single,primary,no,183,no,no,unknown,12,jun,167,5,-1,0,unknown,no
50,blue-collar,married,primary,no,-141,yes,no,unknown,20,jun,61,2,-1,0,unknown,no
34,technician,single,secondary,no,347,yes,no,cellular,6,feb,154,2,197,6,failure,no
52,technician,married,secondary,no,272,no,yes,cellular,17,jul,53,1,-1,0,unknown,no
47,management,divorced,tertiary,no,1149,no,yes,cellular,15,jul,82,2,-1,0,unknown,no
